;City;Place_ID;Place_Name;Cuisine;Address;Phone Number;Price level;Avg rating;Amount of ratings;Vegetarian;Beer;Wine;Opening Hours;tags
64;Gdańsk;ChIJy5XZ2LR1_UYR6M0IO0DTuvY;Forno Rosa;['pizza'];Hynka 57A, 80-465 Gdańsk, Poland;+48 577 203 303;2.0;4.8;950;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
65;Gdynia;ChIJHw2zYfGh_UYRAPJ9YNAqC38;Friends Kebab Dąbrowa;['turkish'];Nowowiczlińska 1a, 81-577 Gdynia, Poland;+48 729 488 392;2.0;4.0;87;False;False;False;[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
66;Gdynia;ChIJ1w58bQCn_UYRK84scHJ2H5w;Friends Kebab Świętojańska;['turkish'];Świętojańska 100, 81-388 Gdynia, Poland;+48 739 471 161;2.0;4.6;96;False;False;False;[{'close': {'day': 1, 'time': '0100'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
67;Sopot;ChIJlXwZBzqh_UYRDfaGWPj5Qjw;Friends kebab;['turkish'];Wielkopolska 38, 81-552 Gdynia, Poland;+48 729 325 472;2.0;4.6;706;False;False;False;[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1000'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
68;Gdynia;ChIJn3TntDGn_UYRLybq0mTHaJ0;Gdynianka;['pizza'];Świętojańska 65, 81-391 Gdynia, Poland;+48 58 620 15 16;1.0;4.8;2568;True;False;False;[{'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '1530'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
69;Gdynia;ChIJAVOqkTGn_UYRWWQ5mM6TY_M;Good Morning Vietnam - Restauracja Gdynia - Kuchnia Azjatycka, Wietnamska | Azjatyckie jedzenie tajskie;['chinese'];Świętojańska 83a, 81-389 Gdynia, Poland;+48 58 711 30 30;2.0;4.5;1237;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
70;Sopot;ChIJYVwG8FkL_UYRODuHSC2ozvM;Grazie Mille Pizzeria;['pizza'];Obrońców Wybrzeża 4D, 80-398 Gdańsk, Poland;+48 726 200 030;2.0;4.8;947;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['meal_takeaway', 'meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']
71;Gdańsk;ChIJ1RQXZGtz_UYR7s7HS0ofYLQ;Great Wall Chinese Restaurant;['chinese'];Rajska 4E, 80-850 Gdańsk, Poland;+48 575 788 999;2.0;3.8;205;False;True;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
72;Gdańsk;ChIJJ3FQYGtz_UYRe1aFpCjsNE4;Gyozilla Ramen;['japanese', 'sushi'];Do Studzienki 23, 80-227 Gdańsk, Poland;+48 790 572 672;2.0;4.8;2764;True;True;True;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1300'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
73;Gdynia;ChIJnY-4lpqn_UYRfS1ClFCIeBU;Gyozilla Ramen Gdynia;['japanese', 'sushi'];Mściwoja 9, 81-361 Gdynia, Poland;+48 602 551 537;2.0;4.8;433;True;True;True;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1300'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
74;Gdańsk;ChIJ1aaDVc51_UYRqs_OT-kFbRk;Gyozilla Sushi & Cocktails;['japanese', 'sushi'];Leśmiana 1, 80-280 Gdańsk, Poland;+48 880 818 328;2.0;4.8;575;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1300'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1300'}}];['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']
75;Gdynia;ChIJMfx_kSSn_UYRnMZ0QPDnpwk;HAOS;['chinese'];Starowiejska 14, 81-356 Gdynia, Poland;+48 536 277 977;2.0;4.5;4216;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
76;Gdańsk;ChIJc9riii1z_UYRY1LwezlxTpY;HAOS;['chinese'];Piwna 3/4, 80-378 Gdańsk, Poland;+48 535 632 107;2.0;4.5;738;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
77;Gdańsk;ChIJWY0icQB1_UYRtP20wOBmXoE;Happy India Stacja FoodHall;['indian'];Jana Kilińskiego 4, 80-452 Gdańsk, Poland;+48 579 114 215;2.0;4.2;48;False;False;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2359'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2359'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
78;Sopot;ChIJFTB_E9R0_UYRlbwtVwE5Occ;Hashi Sushi Gdańsk;['chinese'];aleja Rzeczypospolitej 4/149, 80-369 Gdańsk, Poland;+48 733 733 999;3.0;4.7;2241;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
79;Gdynia;ChIJceX2dZmg_UYREfR5Dg9YEXw;Hashi Sushi Gdynia;['sushi', 'japanese', 'chinese'];Przebendowskich 38, 81-543 Gdynia, Poland;+48 58 710 07 01;3.0;4.7;1869;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
80;Gdynia;ChIJWT6NyQql_UYR2YEyXsr7F50;Hi Sushi;['japanese', 'sushi'];Chylońska 164/lok U2, 81-010 Gdynia, Poland;+48 518 003 924;2.0;4.6;319;False;False;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
81;Gdańsk;ChIJ7Ze0FTlz_UYRqTX5BipOWf4;Hokkaido Sushi and Japan Cuisine;['japanese', 'sushi'];Długa 47/49, 80-831 Gdańsk, Poland;+48 884 351 351;2.0;4.6;1054;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1400'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
82;Gdańsk;ChIJhb7CPvNz_UYRT3eghNuSSBQ;Hola Tapas;['mexican'];Piwna 50/51, 80-831 Gdańsk, Poland;+48 664 784 454;2.0;4.7;3060;True;True;True;[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1300'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 6, 'time': '0030'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 0, 'time': '0030'}, 'open': {'day': 6, 'time': '1200'}}];['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']
83;Sopot;ChIJz-QrWlcL_UYRVkLgwQKP6hQ;Hona;['japanese', 'sushi'];Dworcowa 3B, 81-759 Sopot, Poland;+48 607 888 715;2.0;4.8;182;True;True;True;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1200'}}];['cafe', 'bar', 'night_club', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']
84;Gdańsk;ChIJvS9OjDNz_UYR8Y9DR6KReFQ;IL Panino Gdańsk;['italian'];Stągiewna 1A, 80-750 Gdańsk, Poland;+48 882 811 661;2.0;4.7;68;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']
85;Gdynia;ChIJg9B4hJqh_UYRU2e_T2Fnh28;Ideolo Pizza;['pizza'];Nowowiczlińska 17, 81-577 Gdynia, Poland;+48 577 700 175;2.0;4.7;1455;False;False;False;[{'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2230'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
86;Gdynia;ChIJj1qAuIKn_UYRF4Qvu4P3X7Y;Indi Bhukkad Restauracja & Bar;['indian'];Żołnierzy I Armii Wojska Polskiego 12, 81-383 Gdynia, Poland;+48 664 757 370;2.0;4.7;416;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}];['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']
87;Gdańsk;ChIJI6EOUqUL_UYR7meBpAQViwM;Indi Bhukkad Restauracja & Bar;['indian'];Generała T. Bora-Komorowskiego 46, 80-377 Gdańsk, Poland;+48 797 574 706;2.0;4.7;79;False;False;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
88;Gdańsk;ChIJDaOJZLJz_UYRhq97y392BSE;Indian Taste Gdańsk;['indian'];Pańska 7/8, 80-844 Gdańsk, Poland;+48 797 346 000;2.0;4.7;847;True;True;True;[{'close': {'day': 0, 'time': '2230'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2230'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2230'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2230'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2230'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2230'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
89;Gdańsk;ChIJYQmQ0qBz_UYR0c38CABcQBQ;Izakaya Sushi & Ramen;['japanese'];Szafarnia 11/u13, 80-755 Gdańsk, Poland;+48 530 352 591;2.0;4.5;1323;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
90;Gdańsk;ChIJ-zxRgCV1_UYRwc1w2WONNOo;KEBAB ARARAT SMAKI ORIENTU;['turkish'];Wita Stwosza 48A, 80-308 Gdańsk, Poland;+48 58 751 15 14;1.0;4.3;546;True;False;False;[{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
91;Gdańsk;ChIJY2w3Hct1_UYRX_fuJu46q40;KEBAB LAMH MORENA;['turkish'];Jaśkowa Dolina 101, 80-288 Gdańsk, Poland;+48 786 637 389;1.0;4.1;375;False;False;False;[{'close': {'day': 1, 'time': '0100'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1000'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
92;Gdańsk;ChIJg2MF8y51_UYRnYa4MGteUho;KOKU Sushi Oliwa Gdańsk;['sushi'];Olivia Gate, aleja Grunwaldzka 472, 80-309 Gdańsk, Poland;+48 733 805 805;2.0;4.5;1042;True;True;True;[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
93;Gdynia;ChIJv_KTOAeh_UYRAh3dCOs8a8k;KOKU Sushi POINT Gdynia;['japanese', 'sushi'];Redłowska 54, 81-450 Gdynia, Poland;+48 668 417 317;2.0;4.5;88;True;False;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
94;Gdańsk;ChIJlYP3Rs91_UYRx5tI0w_JP_U;Kali Orexi Grecki Kebab & Cuisine;['turkish'];Klonowa 4, 80-264 Gdańsk, Poland;+48 729 331 799;2.0;4.4;854;False;False;True;[{'close': {'day': 0, 'time': '2330'}, 'open': {'day': 0, 'time': '1330'}}, {'close': {'day': 1, 'time': '2330'}, 'open': {'day': 1, 'time': '1500'}}, {'close': {'day': 2, 'time': '2330'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 3, 'time': '2330'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 6, 'time': '0020'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 0, 'time': '0010'}, 'open': {'day': 6, 'time': '1330'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
95;Sopot;ChIJ52Inj8cK_UYRuZsSVs3pkNk;Karczma Polska Zagroda;['turkish', 'chinese'];Aleja Niepodległości 625, 81-855 Sopot, Poland;+48 58 550 72 59;2.0;4.6;3464;False;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
